"","grp","var1","var2","vcov","sdcor"
"1","farm_ID","(Intercept)",NA,74106532200.5796,272225.149831127
"2","farm_ID","feedmarine_dominant_biomar",NA,6498632374.35735,80614.095382615
"3","farm_ID","feedplant_dominant_biomar",NA,9177624561.34507,95799.9194224352
"4","farm_ID","feedanimal_dominant_biomar:feed_levelmean",NA,2986721297.39286,54650.903902798
"5","farm_ID","feedmarine_dominant_biomar:feed_levelmean",NA,3667579961.13777,60560.547893309
"6","farm_ID","feedplant_dominant_biomar:feed_levelmean",NA,5674224148.35762,75327.4461823685
"7","farm_ID","feedanimal_dominant_biomar:feed_levelmin",NA,6944584546.24102,83334.1739398731
"8","farm_ID","feedmarine_dominant_biomar:feed_levelmin",NA,6147719652.70932,78407.3953955194
"9","farm_ID","feedplant_dominant_biomar:feed_levelmin",NA,5393830262.78416,73442.7005411985
"10","farm_ID","(Intercept)","feedmarine_dominant_biomar",-3868980813.78098,-0.176302043289887
"11","farm_ID","(Intercept)","feedplant_dominant_biomar",-7269687016.21638,-0.278754780573711
"12","farm_ID","(Intercept)","feedanimal_dominant_biomar:feed_levelmean",-10444587567.9446,-0.702046212166325
"13","farm_ID","(Intercept)","feedmarine_dominant_biomar:feed_levelmean",-5633182668.48553,-0.341692773011037
"14","farm_ID","(Intercept)","feedplant_dominant_biomar:feed_levelmean",-4786976621.07259,-0.233442441700881
"15","farm_ID","(Intercept)","feedanimal_dominant_biomar:feed_levelmin",-19056119269.2916,-0.840007342099143
"16","farm_ID","(Intercept)","feedmarine_dominant_biomar:feed_levelmin",-15181620208.3529,-0.711267311559255
"17","farm_ID","(Intercept)","feedplant_dominant_biomar:feed_levelmin",-12028280520.3221,-0.601626094436568
"18","farm_ID","feedmarine_dominant_biomar","feedplant_dominant_biomar",5481771522.61797,0.709814393645648
"19","farm_ID","feedmarine_dominant_biomar","feedanimal_dominant_biomar:feed_levelmean",3227115234.26744,0.732497487294696
"20","farm_ID","feedmarine_dominant_biomar","feedmarine_dominant_biomar:feed_levelmean",-3345598765.58175,-0.685287917577393
"21","farm_ID","feedmarine_dominant_biomar","feedplant_dominant_biomar:feed_levelmean",-1211955428.49412,-0.199582482167944
"22","farm_ID","feedmarine_dominant_biomar","feedanimal_dominant_biomar:feed_levelmin",3926268929.80782,0.584448063014941
"23","farm_ID","feedmarine_dominant_biomar","feedmarine_dominant_biomar:feed_levelmin",-2864849365.9404,-0.453245790663273
"24","farm_ID","feedmarine_dominant_biomar","feedplant_dominant_biomar:feed_levelmin",-1621881530.63185,-0.273942557242871
"25","farm_ID","feedplant_dominant_biomar","feedanimal_dominant_biomar:feed_levelmean",4018985327.86425,0.767633514445275
"26","farm_ID","feedplant_dominant_biomar","feedmarine_dominant_biomar:feed_levelmean",-433456953.264587,-0.0747121156511863
"27","farm_ID","feedplant_dominant_biomar","feedplant_dominant_biomar:feed_levelmean",-4267921335.9645,-0.591422739346443
"28","farm_ID","feedplant_dominant_biomar","feedanimal_dominant_biomar:feed_levelmin",5342716361.80566,0.669227594481297
"29","farm_ID","feedplant_dominant_biomar","feedmarine_dominant_biomar:feed_levelmin",204582909.668094,0.0272362417239618
"30","farm_ID","feedplant_dominant_biomar","feedplant_dominant_biomar:feed_levelmin",-3953361463.31291,-0.561891862985886
"31","farm_ID","feedanimal_dominant_biomar:feed_levelmean","feedmarine_dominant_biomar:feed_levelmean",-158180688.338301,-0.0477932227101496
"32","farm_ID","feedanimal_dominant_biomar:feed_levelmean","feedplant_dominant_biomar:feed_levelmean",34796357.8937718,0.00845246139410731
"33","farm_ID","feedanimal_dominant_biomar:feed_levelmean","feedanimal_dominant_biomar:feed_levelmin",4430308388.84131,0.972777403444374
"34","farm_ID","feedanimal_dominant_biomar:feed_levelmean","feedmarine_dominant_biomar:feed_levelmin",1133772871.67309,0.264588938821527
"35","farm_ID","feedanimal_dominant_biomar:feed_levelmean","feedplant_dominant_biomar:feed_levelmin",257767553.923032,0.0642217688554651
"36","farm_ID","feedmarine_dominant_biomar:feed_levelmean","feedplant_dominant_biomar:feed_levelmean",317190682.151246,0.0695308248501733
"37","farm_ID","feedmarine_dominant_biomar:feed_levelmean","feedanimal_dominant_biomar:feed_levelmin",565688192.365679,0.112089306820438
"38","farm_ID","feedmarine_dominant_biomar:feed_levelmean","feedmarine_dominant_biomar:feed_levelmin",4283009363.36706,0.901990993184312
"39","farm_ID","feedmarine_dominant_biomar:feed_levelmean","feedplant_dominant_biomar:feed_levelmin",876054019.579634,0.196966538757648
"40","farm_ID","feedplant_dominant_biomar:feed_levelmean","feedanimal_dominant_biomar:feed_levelmin",569435006.11896,0.0907126351925686
"41","farm_ID","feedplant_dominant_biomar:feed_levelmean","feedmarine_dominant_biomar:feed_levelmin",1195367334.76554,0.202390961088101
"42","farm_ID","feedplant_dominant_biomar:feed_levelmean","feedplant_dominant_biomar:feed_levelmin",4490629454.54045,0.811718303397092
"43","farm_ID","feedanimal_dominant_biomar:feed_levelmin","feedmarine_dominant_biomar:feed_levelmin",2951173096.35048,0.451663006397668
"44","farm_ID","feedanimal_dominant_biomar:feed_levelmin","feedplant_dominant_biomar:feed_levelmin",1413441828.70472,0.230943725214623
"45","farm_ID","feedmarine_dominant_biomar:feed_levelmin","feedplant_dominant_biomar:feed_levelmin",2654935851.64736,0.461050361647578
"46","Residual",NA,NA,42106318484.0523,205198.241912674
